"bloco","bairro","regiao","data","data_relativa","concentracao","desfile","final","local_da_concentracao","percurso","publico_estimado","ano_do_primeiro_desfile","label","lon","lat"
"Chame Gente","São Conrado","Zona Sul",2018-01-20,"Domingo - 2 semanas antes do Carnaval",1899-12-31 08:00:00,1899-12-31 10:00:00,1899-12-31 14:00:00,"av  prefeito mendes de moraes rio de janeiro","Av. Prefeito Mendes de Moraes, da Rua Herbert Moses até o Hotel Golden Tulip",20000,2007,"Bloco: Chame Gente - Bairro: São Conrado - Regiao: Zona Norte 2Data: 2018-01-20 - Concentração 08:00:00",-43.264615,-22.9994655
"É Pequeno mas não amolece","Recreio dos Bandeirantes","Barra/JPA",2018-01-20,"Sábado - 3 semanas antes do Carnaval",1899-12-31 14:00:00,1899-12-31 16:00:00,1899-12-31 20:00:00,"praca professor henrique niremberg rio de janeiro","Parado",500,2009,"Bloco: É Pequeno mas não amolece - Bairro: Recreio dos Bandeirantes - Regiao: Zona Norte 2Data: 2018-01-20 - Concentração 14:00:00",-43.4668024,-23.0200606
"Larga a Onça, Alfredo! - Ensaio","Laranjeiras","Zona Sul",2018-01-20,"Sábado - 3 semanas antes do Carnaval",1899-12-31 15:00:00,1899-12-31 18:00:00,1899-12-31 20:00:00,"praca sao salvador rio de janeiro","Parado",2000,2008,"Bloco: Larga a Onça, Alfredo! - Ensaio - Bairro: Laranjeiras - Regiao: Zona Norte 2Data: 2018-01-20 - Concentração 15:00:00",NA,NA
"Os ""20"" de Ouro do Mestre Odilon","Ilha do Governador","Zona Norte 3",2018-01-20,"Sábado - 3 semanas antes do Carnaval",1899-12-31 16:00:00,1899-12-31 16:00:00,1899-12-31 20:00:00,"estrada do rio jequia  posto necker pinto  rio de janeiro","Segue pela Estrada Rio Jequiá, Rua Maldonado, e Pça Iaiá Garcia",1500,2017,"Bloco: Os ""20"" de Ouro do Mestre Odilon - Bairro: Ilha do Governador - Regiao: Zona Norte 2Data: 2018-01-20 - Concentração 16:00:00",NA,NA
"Põe na Quentinha?","Centro","Centro",2018-01-20,"Sábado – 13semanas antes do Carnaval",1899-12-31 13:00:00,1899-12-31 14:00:00,1899-12-31 19:00:00,"rua conselheiro saraiva  rio de janeiro","Parado",1500,2015,"Bloco: Põe na Quentinha? - Bairro: Centro - Regiao: Zona Norte 2Data: 2018-01-20 - Concentração 13:00:00",-43.1782798,-22.8984147
"Seu Kuka é Eu do Grajaú","Grajaú","Tijuca e Adj",2018-01-20,"Sábado – 3 semanas antes do Carnaval",1899-12-31 16:00:00,1900-01-01 16:00:00,1900-01-01 22:00:00,"largo maria martha ward rio de janeiro","Parado",1200,2008,"Bloco: Seu Kuka é Eu do Grajaú - Bairro: Grajaú - Regiao: Zona Norte 2Data: 2018-01-20 - Concentração 16:00:00",-43.2597685,-22.9203851
"TPM - Turma da Paz de Madureira","Madureira","Zona Norte 1",2018-01-20,"Sábado - 2 semanas antes do Carnaval",1899-12-31 13:30:00,1899-12-31 17:30:00,1899-12-31 19:00:00," rio de janeiro","Segue a Estrada do Portela até antes do Shopping Madureira.",500,2013,"Bloco: TPM - Turma da Paz de Madureira - Bairro: Madureira - Regiao: Zona Norte 2Data: 2018-01-20 - Concentração 13:30:00",-43.1728965,-22.9068467
"Banda do Jiló","Tijuca","Tijuca e Adj",2018-01-21,"Domingo - 3 semanas antes do Carnaval",1899-12-31 14:00:00,1899-12-31 14:00:00,1899-12-31 20:00:00,"rua pinto de figueiredo  rio de janeiro","Parado",1000,2004,"Bloco: Banda do Jiló - Bairro: Tijuca - Regiao: Zona Norte 2Data: 2018-01-21 - Concentração 14:00:00",-43.236111,-22.9249203
"Divas do Recreio","Recreio dos Bandeirantes","Barra/JPA",2018-01-21,"Domingo - 2 semanas antes do Carnaval",1899-12-31 15:00:00,1899-12-31 16:30:00,1899-12-31 21:00:00,"quiosque  e meio rio de janeiro","Parado",3000,2014,"Bloco: Divas do Recreio - Bairro: Recreio dos Bandeirantes - Regiao: Zona Norte 2Data: 2018-01-21 - Concentração 15:00:00",-43.4622587,-23.0270166
"Só Caminha","Botafogo","Zona Sul",2018-01-21,"Domingo - 3 semanas antes do Carnaval",1899-12-31 12:00:00,1899-12-31 14:00:00,1899-12-31 18:00:00,"largo dos leoes rio de janeiro","Largo dos Leões, Rua Marques, Rua Capistrano de Abreu, Rua Conde de Irajá e Largo dos Leões",2000,2010,"Bloco: Só Caminha - Bairro: Botafogo - Regiao: Zona Norte 2Data: 2018-01-21 - Concentração 12:00:00",NA,NA
"Xodó da Piedade","Piedade","Zona Norte 2",2018-01-21,"Domingo - 3 semanas antes do Carnaval",1899-12-31 16:00:00,1899-12-31 17:00:00,1899-12-31 22:00:00,"rua mario carpenter rio de janeiro","PARADO",1500,1972,"Bloco: Xodó da Piedade - Bairro: Piedade - Regiao: Zona Norte 2Data: 2018-01-21 - Concentração 16:00:00",-43.2974783,-22.8882707
"O Fervo","Estácio","Centro",2018-01-23,"Terça-feira - 2 semanas antes do Carnaval",1899-12-31 14:00:00,1899-12-31 18:00:00,1899-12-31 20:00:00,"rua maia de lacerda rio de janeiro","Rua Maia de Lacerda, da esquina da Rua Estácio de Sá até a Rua Sampaio Ferraz e termina na rua Quintino do Vale",500,2016,"Bloco: O Fervo - Bairro: Estácio - Regiao: Zona Norte 2Data: 2018-01-23 - Concentração 14:00:00",-43.2060102,-22.917103
"Discípulos do Oswaldo","Manguinhos","Zona Norte 2",2018-01-24,"Quarta-feira 2 semanas antes do Carnaval",1899-12-31 17:00:00,1899-12-31 20:00:00,1899-12-31 22:00:00,"rua rosa da fonseca rio de janeiro","Rua Rosa da Fonseca Rua Castro Tavares, Rua Sizenando Nabuco e Rua Rosa da Fonseca",1000,2002,"Bloco: Discípulos do Oswaldo - Bairro: Manguinhos - Regiao: Zona Norte 2Data: 2018-01-24 - Concentração 17:00:00",-43.2485261,-22.874199
"Vestiu uma Camisinha Listrada e Saiu por Aí","Centro","Centro",2018-01-26,"Sexta-feira - 2 semanas antes do Carnaval",1899-12-31 16:00:00,1899-12-31 19:00:00,1899-12-31 22:00:00,"buraco do lume rio de janeiro","Parado",2000,1992,"Bloco: Vestiu uma Camisinha Listrada e Saiu por Aí - Bairro: Centro - Regiao: Zona Norte 2Data: 2018-01-26 - Concentração 16:00:00",NA,NA
"Amigos da Esquina","Engenho de Dentro","Zona Norte 2",2018-01-27,"Sábado - 2 semanas antes do Carnaval",1899-12-31 15:00:00,1899-12-31 15:00:00,1899-12-31 21:00:00,"rua  de fevereiro  rio de janeiro","Parado",1000,2004,"Bloco: Amigos da Esquina - Bairro: Engenho de Dentro - Regiao: Zona Norte 2Data: 2018-01-27 - Concentração 15:00:00",-43.3009612,-22.8971454
"Areia","Leblon","Zona Sul",2018-01-27,"Sábado - 2 semana antes do Carnaval",1899-12-31 09:00:00,1899-12-31 11:00:00,1899-12-31 15:00:00,"rua dias ferreira entre a avenida bartolomeu mitre e a rua general urquiza rio de janeiro","Parado",3500,2003,"Bloco: Areia - Bairro: Leblon - Regiao: Zona Norte 2Data: 2018-01-27 - Concentração 09:00:00",NA,NA
"Banda de Ipanema","Ipanema","Zona Sul",2018-01-27,"Sábado - 2 semanas antes do Carnaval",1899-12-31 15:00:00,1899-12-31 17:30:00,1899-12-31 21:00:00,"rua jangadeiros rio de janeiro","Rua Gomes Carneiro, Avenida Vieira Souto, Rua Joana Angélica e Rua Visconde de Pirajá, até a Praça General Osório",50000,1965,"Bloco: Banda de Ipanema - Bairro: Ipanema - Regiao: Zona Norte 2Data: 2018-01-27 - Concentração 15:00:00",NA,NA
"Bloco Carnavalesco Bunda Rachada","Ramos","Zona Norte 3",2018-01-27,"sábado - 2 semanas antes do carnaval",1899-12-31 16:00:00,1899-12-31 18:00:00,1899-12-31 20:00:00,"rua romero zander  n   rio de janeiro","rua romero zander n. 363, Av. dos campeoes n.569",2000,2001,"Bloco: Bloco Carnavalesco Bunda Rachada - Bairro: Ramos - Regiao: Zona Norte 2Data: 2018-01-27 - Concentração 16:00:00",-43.2539576,-22.856943
"Bloco do Cocoloko","Barra da Tijuca","Barra/JPA",2018-01-27,"Sexta-feira de Carnaval",1899-12-31 10:00:00,1899-12-31 10:00:00,1899-12-31 16:00:00,"lucio costa   rio de janeiro","Parado",15000,2016,"Bloco: Bloco do Cocoloko - Bairro: Barra da Tijuca - Regiao: Zona Norte 2Data: 2018-01-27 - Concentração 10:00:00",-43.3936224,-23.0130333
"Bloco do Limão","Jardim América","Zona Norte 2",2018-01-27,"Sábado - 2 semana antes do Carnaval",1899-12-31 16:00:00,1899-12-31 18:00:00,1899-12-31 22:00:00,"praca rivadavia c maia rio de janeiro","Parado",800,2010,"Bloco: Bloco do Limão - Bairro: Jardim América - Regiao: Zona Norte 2Data: 2018-01-27 - Concentração 16:00:00",NA,NA
"Cacique de Higienópolis","Higienópolis","Zona Norte 2",2018-01-27,"Sábado - 2 semanas antes do Carnaval",1899-12-31 16:00:00,1899-12-31 17:00:00,1899-12-31 22:00:00,"rua tamiarana rio de janeiro","Parado",500,2012,"Bloco: Cacique de Higienópolis - Bairro: Higienópolis - Regiao: Zona Norte 2Data: 2018-01-27 - Concentração 16:00:00",-43.2652516,-22.876058
"Cadê Meu Beijo?","Ilha do Governador","Zona Norte 3",2018-01-27,"Sábado - 2 semanas antes do Carnaval",1899-12-31 15:00:00,1899-12-31 16:00:00,1899-12-31 21:00:00,"rua luis sa   rio de janeiro","Parado",2000,2014,"Bloco: Cadê Meu Beijo? - Bairro: Ilha do Governador - Regiao: Zona Norte 2Data: 2018-01-27 - Concentração 15:00:00",-43.2027799,-22.7995836
"Calma Amor","Irajá","Zona Norte 1",2018-01-27,"Sábado - 2 semanas antes do Carnaval",1899-12-31 16:00:00,1899-12-31 16:00:00,1899-12-31 22:00:00,"praca ferreira souto rio de janeiro","Parado",5000,2010,"Bloco: Calma Amor - Bairro: Irajá - Regiao: Zona Norte 2Data: 2018-01-27 - Concentração 16:00:00",-43.328973,-22.8278221
"Carmelitas (ENSAIO)","Centro","Centro",2018-01-27,"Sabado - 2 semanas antes do Carnaval",1899-12-31 16:00:00,1899-12-31 16:00:00,1899-12-31 22:00:00,"praca tiradentes rio de janeiro","PARADO",800,1990,"Bloco: Carmelitas (ENSAIO) - Bairro: Centro - Regiao: Zona Norte 2Data: 2018-01-27 - Concentração 16:00:00",NA,NA
"Cordão do Prata Preta","Gamboa","Centro",2018-01-27,"Sábado - 2 semanas antes do Carnaval",1899-12-31 17:00:00,1899-12-31 17:00:00,1899-12-31 22:00:00,"praca coronel assumpcao  praca da harmonia  rio de janeiro","Parado",800,2005,"Bloco: Cordão do Prata Preta - Bairro: Gamboa - Regiao: Zona Norte 2Data: 2018-01-27 - Concentração 17:00:00",-43.1916385,-22.8955242
"Deixa a Língua no Varal","Tijuca","Tijuca e Adj",2018-01-27,"Sábado - 2 semanas antes do Carnaval",1899-12-31 16:00:00,1899-12-31 18:00:00,1899-12-31 22:00:00,"rua barao de mesquita  rio de janeiro","Rua Barão de Mesquita, Rua Deputado Soares Filho, Praça Hilda, Rua Pareto, Rua Almirante Cochrane, Rua Santo Afonso, Rua Pinto de Figueiredo, Av. Maracanã e Rua Barão de Mesquita 136",500,2008,"Bloco: Deixa a Língua no Varal - Bairro: Tijuca - Regiao: Zona Norte 2Data: 2018-01-27 - Concentração 16:00:00",-43.2424946,-22.9242345
"Desliga da Justiça","Gávea","Zona Sul",2018-01-27,"Sábado - 2 semanas antes do Carnaval",1899-12-31 08:00:00,1899-12-31 10:00:00,1899-12-31 14:00:00,"praca santos dumont rio de janeiro","Parado",5000,2010,"Bloco: Desliga da Justiça - Bairro: Gávea - Regiao: Zona Norte 2Data: 2018-01-27 - Concentração 08:00:00",NA,NA
"É Pequeno mas não amolece","Recreio dos Bandeirantes","Barra/JPA",2018-01-27,"Sábado - 1 semana antes do Carnaval",1899-12-31 14:00:00,1899-12-31 16:00:00,1899-12-31 20:00:00,"praca professor henrique niremberg rio de janeiro","Parado",500,2009,"Bloco: É Pequeno mas não amolece - Bairro: Recreio dos Bandeirantes - Regiao: Zona Norte 2Data: 2018-01-27 - Concentração 14:00:00",-43.4668024,-23.0200606
"GB Bloco","Laranjeiras","Zona Sul",2018-01-27,"Sábado - 2 semanas antes do Carnaval",1899-12-31 13:00:00,1899-12-31 15:00:00,1899-12-31 19:00:00,"praca jardim laranjeiras  rua general glicerio rio de janeiro","Rua General Glicério, Rua General Cristóvão Barcelos, retornando à Praça Jardim Laranjeiras",5000,2007,"Bloco: GB Bloco - Bairro: Laranjeiras - Regiao: Zona Norte 2Data: 2018-01-27 - Concentração 13:00:00",-43.1916784,-22.940896
"Imprensa Que Eu Gamo","Laranjeiras","Zona Sul",2018-01-27,"Sábado - 2 semanas antes do Carnaval",1899-12-31 13:00:00,1899-12-31 15:00:00,1899-12-31 19:00:00,"rua gago coutinho  rio de janeiro","Rua Gago Coutinho, Largo do Machado, Rua das Laranjeiras e Rua Gago Coutinho",15000,1996,"Bloco: Imprensa Que Eu Gamo - Bairro: Laranjeiras - Regiao: Zona Norte 2Data: 2018-01-27 - Concentração 13:00:00",-43.1811677,-22.931308
"Liga de Blocos e Bandas da Zona Portuária","Saúde","Centro",2018-01-27,"Sábado - 2 semanas antes do Carnaval",1899-12-31 10:00:00,1899-12-31 12:00:00,1899-12-31 16:00:00,"praca coronel assuncao  praca da harmonia  rio de janeiro","Rua Sacadura Cabral, da Praça da Harmonia até o Largo São Francisco da Prainha",1500,2008,"Bloco: Liga de Blocos e Bandas da Zona Portuária - Bairro: Saúde - Regiao: Zona Norte 2Data: 2018-01-27 - Concentração 10:00:00",-43.1916385,-22.8955242
"Nem Muda Nem Sai de Cima","Tijuca","Tijuca e Adj",2018-01-27,"Sábado - 2 semanas antes do Carnaval",1899-12-31 16:00:00,1899-12-31 19:00:00,1899-12-31 22:00:00,"rua garibaldi rio de janeiro","Rua Garibaldi, Rua Pinto Guedes, Praça Xavier de Brito, Rua Otávio Kelly, Rua Conde de Bonfim e Rua Garibaldi, voltando ao local de concentração",1000,1995,"Bloco: Nem Muda Nem Sai de Cima - Bairro: Tijuca - Regiao: Zona Norte 2Data: 2018-01-27 - Concentração 16:00:00",-43.2457502,-22.9332573
"Panela Preta de Curicica","Curicica","Barra/JPA",2018-01-27,"Sábado - 2 semanas antes do Carnaval",1899-12-31 14:00:00,1899-12-31 16:00:00,1899-12-31 20:00:00,"rua joao bruno lobo  rio de janeiro","Rua João Bruno Lobo, nº 38 - Parado",1000,2011,"Bloco: Panela Preta de Curicica - Bairro: Curicica - Regiao: Zona Norte 2Data: 2018-01-27 - Concentração 14:00:00",-43.382952,-22.9533837
"Pra que Juízo","Vila da Penha","Zona Norte 1",2018-01-27,"Sábado - 2 semanas antes do Carnaval",1899-12-31 16:00:00,1899-12-31 18:00:00,1899-12-31 22:00:00,"largo do bicao rio de janeiro","Av. Braz de Pina (Altura do Mc Donalds) seguindo até a Rua Oliveira Belo",2000,2018,"Bloco: Pra que Juízo - Bairro: Vila da Penha - Regiao: Zona Norte 2Data: 2018-01-27 - Concentração 16:00:00",-43.3094623,-22.8440802
"Primeiro Amor","São Conrado","Barra/JPA",2018-01-27,"Sábado - 2 semanas antes do Carnaval",1899-12-31 08:00:00,1899-12-31 10:00:00,1899-12-31 13:00:00," rio de janeiro","Saindo do Golfe Clube até o final",6000,2013,"Bloco: Primeiro Amor - Bairro: São Conrado - Regiao: Zona Norte 2Data: 2018-01-27 - Concentração 08:00:00",-43.1728965,-22.9068467
"Se Concentra mas Não Sai e Caldeirão","Campo Grande","Zona Oeste",2018-01-27,"Sábado - 2 semanas antes do Carnaval",1899-12-31 16:00:00,1899-12-31 16:00:00,1899-12-31 22:00:00,"rua ministro carlos medeiros rio de janeiro","Parado",500,2010,"Bloco: Se Concentra mas Não Sai e Caldeirão - Bairro: Campo Grande - Regiao: Zona Norte 2Data: 2018-01-27 - Concentração 16:00:00",-43.5358871,-22.8805053
"Se Deixar Eu Boto","Pavuna","Zona Norte 1",2018-01-27,"Sábado - 2 semana antes do Carnaval",1899-12-31 17:00:00,1899-12-31 20:00:00,1899-12-31 22:00:00,"rua sargento manoel chagas com rua capitao gouveia rio de janeiro","Parado",1200,2012,"Bloco: Se Deixar Eu Boto - Bairro: Pavuna - Regiao: Zona Norte 2Data: 2018-01-27 - Concentração 17:00:00",NA,NA
"Seu Kuka é Eu do Grajaú","Grajaú","Tijuca e Adj",2018-01-27,"Sábado – 2 semanas antes do Carnaval",1899-12-31 16:00:00,1900-01-02 16:00:00,1900-01-02 22:00:00,"largo maria martha ward rio de janeiro","Parado",1200,2008,"Bloco: Seu Kuka é Eu do Grajaú - Bairro: Grajaú - Regiao: Zona Norte 2Data: 2018-01-27 - Concentração 16:00:00",-43.2597685,-22.9203851
"Spanta Neném","Lagoa","Zona Sul",2018-01-27,"Sábado - 2 semanas antes do Carnaval",1899-12-31 10:00:00,1899-12-31 13:00:00,1899-12-31 16:00:00,"corte do cantagalo rio de janeiro","Ciclovia da Lagoa, do Corte do Cantagalo até o Clube Caiçaras",5000,2003,"Bloco: Spanta Neném - Bairro: Lagoa - Regiao: Zona Norte 2Data: 2018-01-27 - Concentração 10:00:00",-43.1938526,-22.9766678
"Vira-Lata","São Conrado","Zona Sul",2018-01-27,"Sábado - 2 semanas antes do Carnaval",1899-12-31 13:00:00,1899-12-31 14:00:00,1899-12-31 18:00:00," rio de janeiro","Saindo do Golfe Clube até o final",5000,2009,"Bloco: Vira-Lata - Bairro: São Conrado - Regiao: Zona Norte 2Data: 2018-01-27 - Concentração 13:00:00",NA,NA
"Alegria Sem Ressaca","Copacabana","Zona Sul",2018-01-28,"Domingo - 2 semanas antes do Carnaval",1899-12-31 09:00:00,1899-12-31 09:00:00,1899-12-31 12:00:00,"av  atlantica rio de janeiro","Parado",500,2007,"Bloco: Alegria Sem Ressaca - Bairro: Copacabana - Regiao: Zona Norte 2Data: 2018-01-28 - Concentração 09:00:00",-43.1814726,-22.9695324
"Banda Amigos da Barra","Barra da Tijuca","Barra/JPA",2018-01-28,"Domingo - 2 semanas antes do Carnaval",1899-12-31 13:00:00,1899-12-31 15:00:00,1899-12-31 18:00:00,"av  lucio costa barramares rio de janeiro","Segue na Av. Lucio Costa até a altura da Praça do Ó",5000,2017,"Bloco: Banda Amigos da Barra - Bairro: Barra da Tijuca - Regiao: Zona Norte 2Data: 2018-01-28 - Concentração 13:00:00",-43.3282824,-23.0109399
"Banda da Saens Pena","Tijuca","Tijuca e Adj",2018-01-28,"Domingo - 2 semanas antes do Carnaval",1899-12-31 15:00:00,1899-12-31 15:00:00,1899-12-31 21:00:00,"praca saens pena  rio de janeiro","Parado",200,2005,"Bloco: Banda da Saens Pena - Bairro: Tijuca - Regiao: Zona Norte 2Data: 2018-01-28 - Concentração 15:00:00",-43.2319558,-22.9242038
"Bigodinho Esticado","Méier","Zona Norte 2",2018-01-28,"Domingo - 2 semanas antes do Carnaval",1899-12-31 15:00:00,1899-12-31 17:00:00,1899-12-31 19:00:00,"rua adriano  rio de janeiro","Parado",400,2010,"Bloco: Bigodinho Esticado - Bairro: Méier - Regiao: Zona Norte 2Data: 2018-01-28 - Concentração 15:00:00",-43.288713,-22.899887
"Bloco do Demorô","Cidade Nova","Centro",2018-01-28,"Domingo - 2 semana antes do Carnaval",1899-12-31 14:00:00,1899-12-31 14:00:00,1899-12-31 20:00:00,"praca coronel castelo branco rio de janeiro","Parado",300,2016,"Bloco: Bloco do Demorô - Bairro: Cidade Nova - Regiao: Zona Norte 2Data: 2018-01-28 - Concentração 14:00:00",NA,NA
"Bloco dos Gambás","Rio Comprido","Centro",2018-01-28,"Domingo – 2 semanas antes do Carnaval",1899-12-31 14:00:00,1899-12-31 16:00:00,1899-12-31 20:00:00,"rua aristides lobo  rio de janeiro","Rua Aristides Lobo até a esquina da Rua Maia de Lacerda, Retorno Aristides Lobo 217",1000,2013,"Bloco: Bloco dos Gambás - Bairro: Rio Comprido - Regiao: Zona Norte 2Data: 2018-01-28 - Concentração 14:00:00",-43.2086806,-22.9205769
"Calma, Calma Sua Piranha","Botafogo","Zona Sul",2018-01-28,"Domingo - 2 semanas antes do Carnaval",1899-12-31 08:00:00,1899-12-31 10:00:00,1899-12-31 14:00:00,"rua visconde de caravelas rio de janeiro","Rua Visconde de Caravelas, da Rua Real Grandeza até a Rua Capitão Salomão",500,2006,"Bloco: Calma, Calma Sua Piranha - Bairro: Botafogo - Regiao: Zona Norte 2Data: 2018-01-28 - Concentração 08:00:00",-43.1950824,-22.9568376
"Chinelo de Dedo","Centro","Centro",2018-01-28,"Domingo - 2 semanas antes do Carnaval",1899-12-31 16:00:00,1899-12-31 17:00:00,1899-12-31 22:00:00,"rua do mercado  rio de janeiro","Parado",1000,2015,"Bloco: Chinelo de Dedo - Bairro: Centro - Regiao: Zona Norte 2Data: 2018-01-28 - Concentração 16:00:00",-43.1748943,-22.901895
"Coração das Meninas","Saúde","Centro",2018-01-28,"Domingo - 2 semanas antes do Carnaval",1899-12-31 16:00:00,1899-12-31 18:00:00,1899-12-31 22:00:00,"largo da prainha rio de janeiro","Rua Sacadura Cabral ao Largo da Prainha até Praça da Harmonia",500,1964,"Bloco: Coração das Meninas - Bairro: Saúde - Regiao: Zona Norte 2Data: 2018-01-28 - Concentração 16:00:00",-43.1842755,-22.8976967
"Fala Meu Louro","Santo Cristo","Centro",2018-01-28,"Sábado - 2 semanas antes do Carnaval",1899-12-31 14:00:00,1899-12-31 16:00:00,1899-12-31 20:00:00,"rua waldemar dutra  rio de janeiro","Rua Waldemar Dutra, Praça do Santo Cristo, Rua da América, Rua Barão da Gamboa, Rua Cardoso Marinho, Rua Santo Cristo e Rua Waldemar Dutra.",800,1938,"Bloco: Fala Meu Louro - Bairro: Santo Cristo - Regiao: Zona Norte 2Data: 2018-01-28 - Concentração 14:00:00",-43.2003933,-22.9008225
"Foliões do Rio","Ilha do Governador","Zona Norte 3",2018-01-28,"Domingo - 2 semanas antes do Carnaval",1899-12-31 12:00:00,1899-12-31 14:00:00,1899-12-31 18:00:00,"praca jerusalem rio de janeiro","Av. Alves Câmara Junior (Praia da Bica), da Praça Jerusalém até o nº 819 (Quiosque 22)",3500,2014,"Bloco: Foliões do Rio - Bairro: Ilha do Governador - Regiao: Zona Norte 2Data: 2018-01-28 - Concentração 12:00:00",-43.2011982,-22.8188248
"Independente do Morro do Pinto","Santo Cristo","Centro",2018-01-28,"Domingo - 2 semanas antes do Carnaval",1899-12-31 14:00:00,1899-12-31 16:00:00,1899-12-31 20:00:00,"rua farnese  rio de janeiro","Rua Farnese, Rua Saldanha Marinho, Rua Mariano Procópio,  Rua Sara, Rua Mont Alverne",500,1973,"Bloco: Independente do Morro do Pinto - Bairro: Santo Cristo - Regiao: Zona Norte 2Data: 2018-01-28 - Concentração 14:00:00",-43.203175,-22.9043554
"Me Esquece","Jardim Botânico","Zona Sul",2018-01-28,"Domingo - 2 semanas antes do Carnaval",1899-12-31 09:00:00,1899-12-31 10:00:00,1899-12-31 14:00:00,"rua jardim botanico rio de janeiro","Rua Jardim Botânico, da Rua Pacheco Leão até a Praça Santos Dumont",5000,2004,"Bloco: Me Esquece - Bairro: Jardim Botânico - Regiao: Zona Norte 2Data: 2018-01-28 - Concentração 09:00:00",-43.2173173,-22.9640215
