"book","line","text"
"br",17,"RT @Brellasker: hexa = 6 títulos
galvão = 6 letras 
Brasil = 6 letras 
russia = 6 letras
letras = 6 letras
7x1
7-1 = 6 
alemanha = 8
br = 2…"
"br",18,"RT @Esp_Interativo: É DIA DE COPA DO MUNDO!
É DIA DE BRASIL! <f0><U+009F><U+0087><U+00A7><f0><U+009F><U+0087><U+00B7><f0><U+009F><U+008F><U+0086>
#Copa2018 https://t.co/2zAF2QrWyo"
"br",19,"chorando muito com o video pra cima deles brasil oh copa pq me mataste"
"br",20,"RT @lucasinutilismo: - está ansioso para a estreia do Brasil na copa?
- https://t.co/gnYHsA85ZX"
"br",21,"Tirei Brasil! https://t.co/kOFcbaJYDW"
"br",22,"Tirei Brasil! https://t.co/uCifoxB1tu"
"br",23,"RT @FlaDaDecepcao: Hoje tem jogo da seleção!
Calma, o Flamengo só joga daqui a 1 mês.
Hoje tem Brasil estreando na Copa do Mundo. Não é alg…"
"br",24,"RT @cavalinhodoffc: HOJE TEM BRASIL NA COPA MEUS AMIGOS <f0><U+009F><U+0087><U+00A7><f0><U+009F><U+0087><U+00B7><f0><U+009F><U+0087><U+00A7><f0><U+009F><U+0087><U+00B7><f0><U+009F><U+0087><U+00A7><f0><U+009F><U+0087><U+00B7><f0><U+009F><U+0087><U+00A7><f0><U+009F><U+0087><U+00B7>"
"br",25,"RT @lucasinutilismo: - está ansioso para a estreia do Brasil na copa?
- https://t.co/gnYHsA85ZX"
"br",26,"RT @lluizcrf: Hoje tem Brasil // Lembrei do último resultado do Brasil na Copa https://t.co/qHMHOfQzI0"
"br",27,"RT @UMCANARINHOPUTO: ATÉ PQ SE EU NÃO ASSISTIR A COPA
O BRASIL VAI MELHORAR NÉ
ESSA LÓGICA QUE EU NÃO ENTENDO
BRASIL RUMO AO HEXA
https://t…"
"br",28,"RT @cleytu: HOJE TEM BRASIL NA COPA DO MUNDO

H
O
J
E
 
T
E
M"
"br",29,"meu deus olha o tiago leifert fazendo um mini discursinho e falando que o brasil manda na copa e temos a camisa mai… https://t.co/jkVK95B6S1"
"br",30,"RT @guicasarsa_: dr estranho: eu avancei no tempo para acessar os 14 milhões possíveis resultados da copa do mundo.
brasil: quantos a gente…"
"br",31,"Copa do mundo é copa do mundo!
Qualquer jogo, independente do adverasário, é pura emoção e arrepia sempre quando to… https://t.co/QDhKKxCWqt"
"br",32,"vou mandae fazer uma bkusa do brasil com 9 estrelas de uma vez, pq brasil vai ganhar as proxima copa tudo"
"br",33,"RT @craisck: minha timeline em epoca de copa 

icon de copa 
icon de copa 
icon normal 
pessoa 100% nem ai pra copa
icon de copa
icon de co…"
"br",34,"RT @lucasinutilismo: - está ansioso para a estreia do Brasil na copa?
- https://t.co/gnYHsA85ZX"
"br",35,"eu to chorando na emoção do hexa

Tirei Brasil! https://t.co/0GyKkHsSSE"
"br",36,"RT @zaynpride: portugual: a

brasil: DEVOLVE NOSSO OURO SEUS COLONIZADORES DE MERDA

outros países: a

brasil: deboche, memes da diva da we…"
"br",37,"RT @cleytu: HOJE TEM BRASIL NA COPA DO MUNDO

H
O
J
E
 
T
E
M"
"br",38,"RT @Brellasker: hexa = 6 títulos
galvão = 6 letras 
Brasil = 6 letras 
russia = 6 letras
letras = 6 letras
7x1
7-1 = 6 
alemanha = 8
br = 2…"
"br",39,"RT @Esp_Interativo: É DIA DE COPA DO MUNDO!
É DIA DE BRASIL! <f0><U+009F><U+0087><U+00A7><f0><U+009F><U+0087><U+00B7><f0><U+009F><U+008F><U+0086>
#Copa2018 https://t.co/2zAF2QrWyo"
"br",40,"RT @anaweissheimer: 3º dia de copa e o Brasil ainda não tomou um gol

O hexa já é realidade"
"br",41,"RT @Brellasker: hexa = 6 títulos
galvão = 6 letras 
Brasil = 6 letras 
russia = 6 letras
letras = 6 letras
7x1
7-1 = 6 
alemanha = 8
br = 2…"
"br",42,"RT @Brellasker: hexa = 6 títulos
galvão = 6 letras 
Brasil = 6 letras 
russia = 6 letras
letras = 6 letras
7x1
7-1 = 6 
alemanha = 8
br = 2…"
"br",43,"se o brasil ganhar a copa eu nn namoro nunca mais"
"br",44,"RT @tonemven0: Plena copa do mundo e eu acho q sou o unico brasileiro que não tem a blusa do brasil kkkkkkkkkkkkkkkkk"
"br",45,"RT @cleytu: HOJE TEM BRASIL NA COPA DO MUNDO

H
O
J
E
 
T
E
M"
"br",46,"RT @cleytu: HOJE TEM BRASIL NA COPA DO MUNDO

H
O
J
E
 
T
E
M"
"br",47,"RT @lluizcrf: Hoje tem Brasil // Lembrei do último resultado do Brasil na Copa https://t.co/qHMHOfQzI0"
"br",48,"PQP QUE VÍDEO FODA ESSE QUE A CENTRAL DA COPA FEZ DO BRASIL"
"br",49,"Se você não gosta da copa, não venha descopar os copantes.

Vai, Brasil!"
"br",50,"2014: depois dessa decepção do 7x1 NUNCA mais vou torce pro Brasil.

2018:HOJE TEM BRASIL NA COPA https://t.co/silJezX7hv"
"br",51,"RT @arthursantosx: Hoje tem Brasil e ele não pode perder pq a gnt arrumou briga com todos os paises da copa"
"br",52,"RT @DanielSFurlan: Tem camisa nova do Falha na Copa! O único jeito certo de torcer pelo Brasil é com a camisa usada por Craque Daniel! Essa…"
"br",53,"RT @guicasarsa_: dr estranho: eu avancei no tempo para acessar os 14 milhões possíveis resultados da copa do mundo.
brasil: quantos a gente…"
"br",54,"RT @Brellasker: hexa = 6 títulos
galvão = 6 letras 
Brasil = 6 letras 
russia = 6 letras
letras = 6 letras
7x1
7-1 = 6 
alemanha = 8
br = 2…"
"br",55,"RT @luIapeIobrasiIl: nessa copa do mundo vou torcer pro Brasil feito um condenado... RUMO AO HEXA"
"br",56,"RT @FlaDaDecepcao: Hoje tem jogo da seleção!
Calma, o Flamengo só joga daqui a 1 mês.
Hoje tem Brasil estreando na Copa do Mundo. Não é alg…"
"br",57,"RT @arthursantosx: Hoje tem Brasil e ele não pode perder pq a gnt arrumou briga com todos os paises da copa"
"br",58,"RT @lucasinutilismo: - está ansioso para a estreia do Brasil na copa?
- https://t.co/gnYHsA85ZX"
"br",59,"RT @Andrielerosanto: Atualizando sobre a Copa; o Brasil ainda nem jogou, mas de brasileiros até agora já entraram em campo:

Mario Fernande…"
"br",60,"RT @Brellasker: hexa = 6 títulos
galvão = 6 letras 
Brasil = 6 letras 
russia = 6 letras
letras = 6 letras
7x1
7-1 = 6 
alemanha = 8
br = 2…"
"br",61,"RT @naydognani: Eu antes da copa: bah mas nem sei se quero ver os jogos até do Brasil né tem que estudar fim de semestre
Copa: a
Eu: FINAL…"
"br",62,"RT @cleytu: HOJE TEM BRASIL NA COPA DO MUNDO

H
O
J
E
 
T
E
M"
"br",63,"RT @camzcrf: Hoje tem a seleção mais zoeira dessa Copa 

HOJE TEM BRASIL https://t.co/uYvkjcrTL9"
"br",64,"Vou maneira na bebida nos jogos do Brasil pq na copa passada eu fiquei tão doido que perdi minha bike<f0><U+009F><U+00A4><U+00A6><f0><U+009F><U+008F><U+00BD><U+200D><U+2642><U+FE0F>"
"br",65,"RT @lucasinutilismo: - está ansioso para a estreia do Brasil na copa?
- https://t.co/gnYHsA85ZX"
"br",66,"RT @Esp_Interativo: É DIA DE COPA DO MUNDO!
É DIA DE BRASIL! <f0><U+009F><U+0087><U+00A7><f0><U+009F><U+0087><U+00B7><f0><U+009F><U+008F><U+0086>
#Copa2018 https://t.co/2zAF2QrWyo"
"br",67,"RT @Brellasker: hexa = 6 títulos
galvão = 6 letras 
Brasil = 6 letras 
russia = 6 letras
letras = 6 letras
7x1
7-1 = 6 
alemanha = 8
br = 2…"
"br",68,"RT @DepEduardoCunha: Daqui a pouco a estréia do Brasil na copa"
"br",69,"RT @BiiellSPFC_: HOJE COMEÇA A GUERRA
HOJE TEM COPA DO MUNDO
HOJE TEM BRASIL CARALHO!! https://t.co/wjWJ4Qfhrq"
"br",70,"RT @lucasinutilismo: - está ansioso para a estreia do Brasil na copa?
- https://t.co/gnYHsA85ZX"
"br",71,"RT @lucasinutilismo: - está ansioso para a estreia do Brasil na copa?
- https://t.co/gnYHsA85ZX"
"br",72,"RT @craisck: minha timeline em epoca de copa 

icon de copa 
icon de copa 
icon normal 
pessoa 100% nem ai pra copa
icon de copa
icon de co…"
"br",73,"RT @lucasinutilismo: - está ansioso para a estreia do Brasil na copa?
- https://t.co/gnYHsA85ZX"
"br",74,"Tirei Brasil! https://t.co/UC49iIjfov"
"br",75,"RT @Brellasker: hexa = 6 títulos
galvão = 6 letras 
Brasil = 6 letras 
russia = 6 letras
letras = 6 letras
7x1
7-1 = 6 
alemanha = 8
br = 2…"
"br",76,"tem uma fudida INSUPORTÁVEL que senta na equipe do lado da minha que fica falando que o brasil não vai ganhar a cop… https://t.co/GVtgzDYccJ"
"br",77,"RT @RealidadesFavel: Plena copa do mundo e eu acho q sou o unico brasileiro que não tem a blusa do brasil <f0><U+009F><U+0098><U+0082>"
"br",78,"RT @lucasinutilismo: - está ansioso para a estreia do Brasil na copa?
- https://t.co/gnYHsA85ZX"
"br",79,"RT @Esp_Interativo: É DIA DE COPA DO MUNDO!
É DIA DE BRASIL! <f0><U+009F><U+0087><U+00A7><f0><U+009F><U+0087><U+00B7><f0><U+009F><U+008F><U+0086>
#Copa2018 https://t.co/2zAF2QrWyo"
"br",80,"RT @cleytu: HOJE TEM BRASIL NA COPA DO MUNDO

H
O
J
E
 
T
E
M"
"br",81,"RT @Esp_Interativo: É DIA DE COPA DO MUNDO!
É DIA DE BRASIL! <f0><U+009F><U+0087><U+00A7><f0><U+009F><U+0087><U+00B7><f0><U+009F><U+008F><U+0086>
#Copa2018 https://t.co/2zAF2QrWyo"
"br",82,"RT @cleytu: HOJE TEM BRASIL NA COPA DO MUNDO

H
O
J
E
 
T
E
M"
"br",83,"2014: Eu nunca mais faço nada pela copa Deus me livre

2018: Eu acabei de apostar minha virgindade se o Brasil ganhar o jogo"
"br",84,"RT @Caiospindolaa: copa do mundo+ churrasco+cerveja gelada+ Neymar fazendo o gol pra Vitoria do Brasil e cade vc @ ?????????????"
"br",85,"meu twitter é só copa VAMO BRASIL é HOJEEEEEE"
"br",86,"RT @lucasinutilismo: - está ansioso para a estreia do Brasil na copa?
- https://t.co/gnYHsA85ZX"
"br",87,"RT @xxxgringa: Desculpe chegar assim mas amanhã tem o primeiro jogo do Brasil na copa!!!<f0><U+009F><U+0087><U+00A7><f0><U+009F><U+0087><U+00B7><f0><U+009F><U+0094><U+00A5> https://t.co/0xtZuDfPJz"
"br",88,"RT @Brellasker: hexa = 6 títulos
galvão = 6 letras 
Brasil = 6 letras 
russia = 6 letras
letras = 6 letras
7x1
7-1 = 6 
alemanha = 8
br = 2…"
"br",89,"Estou ansioso pela estreia do Brasil na Copa :( não consigo dormir"
"br",90,"RT @cleytu: HOJE TEM BRASIL NA COPA DO MUNDO

H
O
J
E
 
T
E
M"
"br",91,"RT @luIapeIobrasiIl: nessa copa do mundo vou torcer pro Brasil feito um condenado... RUMO AO HEXA"
"br",92,"RT @cleytu: HOJE TEM BRASIL NA COPA DO MUNDO

H
O
J
E
 
T
E
M"
"br",93,"RT @cecbreno: Hoje estreia a Seleção mais vitoriosa do futebol mundial!

Copa do Mundo: <f0><U+009F><U+008F><U+0086><f0><U+009F><U+008F><U+0086><f0><U+009F><U+008F><U+0086><f0><U+009F><U+008F><U+0086><f0><U+009F><U+008F><U+0086>
Copa das Confederações: <f0><U+009F><U+008F><U+0086><f0><U+009F><U+008F><U+0086><f0><U+009F><U+008F><U+0086><f0><U+009F><U+008F><U+0086>Copa América: <f0><U+009F><U+008F><U+0086><f0><U+009F><U+008F><U+0086><f0><U+009F><U+008F><U+0086>…"
"br",94,"RT @zaynpride: portugual: a

brasil: DEVOLVE NOSSO OURO SEUS COLONIZADORES DE MERDA

outros países: a

brasil: deboche, memes da diva da we…"
"br",95,"RT @lucasinutilismo: - está ansioso para a estreia do Brasil na copa?
- https://t.co/gnYHsA85ZX"
"br",96,"RT @cleytu: HOJE TEM BRASIL NA COPA DO MUNDO

H
O
J
E
 
T
E
M"
"br",97,"RT @Brellasker: hexa = 6 títulos
galvão = 6 letras 
Brasil = 6 letras 
russia = 6 letras
letras = 6 letras
7x1
7-1 = 6 
alemanha = 8
br = 2…"
"br",98,"RT @FlaDaDecepcao: Hoje tem jogo da seleção!
Calma, o Flamengo só joga daqui a 1 mês.
Hoje tem Brasil estreando na Copa do Mundo. Não é alg…"
"br",99,"RT @otariano: Plena copa do mundo e eu acho q sou o unico brasileiro que não tem a blusa do brasil kkkkkkkkkkkkkkkkk"
"br",100,"RT @legadodacopa: VAI TOMA NO CU QUEM ODEIA COPA
................./¯/)
.............../¯ ./
............./. . /
......../´¯/' . '/´¯`•¸,
..…"
"br",101,"RT @Esp_Interativo: É DIA DE COPA DO MUNDO!
É DIA DE BRASIL! <f0><U+009F><U+0087><U+00A7><f0><U+009F><U+0087><U+00B7><f0><U+009F><U+008F><U+0086>
#Copa2018 https://t.co/2zAF2QrWyo"
"br",102,"RT @Caiospindolaa: copa do mundo+ churrasco+cerveja gelada+ Neymar fazendo o gol pra Vitoria do Brasil e cade vc @ ?????????????"
"br",103,"to tão ansioso p estreia do Brasil na copa, que to pensando até em dormir o mais tarde possível p acordar só na hor… https://t.co/zhuUVGRLQF"
"br",104,"RT @OlavoCRF: HOJE TEM JOGO DA COPA / É A ESTREIA DO BRASIL <f0><U+009F><U+0087><U+00A7><f0><U+009F><U+0087><U+00B7> https://t.co/y8976EZWsH"
"br",105,"RT @lucasinutilismo: - está ansioso para a estreia do Brasil na copa?
- https://t.co/gnYHsA85ZX"
"br",106,"RT @Brellasker: hexa = 6 títulos
galvão = 6 letras 
Brasil = 6 letras 
russia = 6 letras
letras = 6 letras
7x1
7-1 = 6 
alemanha = 8
br = 2…"
"br",107,"RT @blackpinkddl: a gente fala mal do Brasil mas chega a copa e nois ta como? #BRA https://t.co/GOKJkakepm"
"br",108,"RT @cleytu: HOJE TEM BRASIL NA COPA DO MUNDO

H
O
J
E
 
T
E
M"
"br",109,"RT @arthursantosx: Hoje tem Brasil e ele não pode perder pq a gnt arrumou briga com todos os paises da copa"
"br",110,"RT @UMCANARINHOPUTO: AMANHÃ É DIA DE BRASIL NA COPA
E EU JÁ TÔ SOFRENDO ANTECIPADO
VAI TOMAR NO CU
RUMO AO HEXA"
"br",111,"RT @_pachecoach: Foda-se o IDH da Suíça. 
Foda-se o salário mínimo da Suíça. 
Foda-se na ida e na volta quem mistura política com Futebol e…"
"br",112,"RT @LuanSperandio: Entre todos os países que disputam a Copa do Mundo, apenas a grande potência Irã é menos livre economicamente do que o B…"
"br",113,"RT @FlaDaDecepcao: Hoje tem jogo da seleção!
Calma, o Flamengo só joga daqui a 1 mês.
Hoje tem Brasil estreando na Copa do Mundo. Não é alg…"
"br",114,"RT @BieeelSantos5: Plena copa do mundo e eu acho q sou o unico brasileiro que não tem a blusa do brasil kkkkkkkkkkkkkkkkk"
"br",115,"RT @OsFlanaticos_: Copa do mundo é legal? É...

Mas não consigo ter  a mesma animação para os jogos do Brasil como eu tenho para os jogos d…"
"br",116,"Tirei Brasil! Huhu #BRA https://t.co/Q7JpHz8HGG"
"br",117,"RT @zaynpride: o brasil tem q ganhar essa copa pq

1° a alemanha ta perto de empatar com a gente no quesito país q mais ganhou copas do mun…"
"br",118,"RT @odanielcornelio: dê rt pra dar sorte pro Brasil na copa. https://t.co/cm5eNKbxnT"
"br",119,"RT @lucasinutilismo: - está ansioso para a estreia do Brasil na copa?
- https://t.co/gnYHsA85ZX"
"br",120,"RT @llisbella: Impagável : Repórter do SPTV entrevista senhora italiana que preparava festa de São Vito e pergunta: 
“Pra quem a sra vai to…"
"br",121,"RT @lucasinutilismo: - está ansioso para a estreia do Brasil na copa?
- https://t.co/gnYHsA85ZX"
"br",122,"Eu não posso ver 1 post relacionado a copa q a mão de comentar gooaal vai brasil e rumo ao hexa chega treme"
"br",123,"RT @queridaporelas: Plena copa do mundo e eu acho q sou a única brasileira que não tem a blusa do brasil kkkkkkkkkkkkkkkkk"
"br",124,"RT @cleytu: HOJE TEM BRASIL NA COPA DO MUNDO

H
O
J
E
 
T
E
M"
"br",125,"RT @lucasinutilismo: - está ansioso para a estreia do Brasil na copa?
- https://t.co/gnYHsA85ZX"
"br",126,"Tô confiante pra caralho no Brasil essa copa .."
"br",127,"RT @lucasinutilismo: - está ansioso para a estreia do Brasil na copa?
- https://t.co/gnYHsA85ZX"
"br",128,"RT @InfosFuteboI: Marcelo será o capitão do Brasil na estréia do time na Copa do Mundo! https://t.co/Cg2LQ93C3e"
"br",129,"RT @winexinside: UTILIDADE PÚBLICA!!!!

gente baixem o aplicativo pack de memes, além de ter ótimos memes e vc não precisar ficar usando to…"
"br",130,"RT @PedroSandes7: Plena copa do mundo e eu acho q sou o unico brasileiro que não tem a blusa do brasil kkkkkkkkkkkkkkkkk"
"br",131,"RT @DepEduardoCunha: Daqui a pouco a estréia do Brasil na copa"
"br",132,"RT @jvvictor021: Plena copa do mundo e eu acho q sou o unico brasileiro que não tem a blusa do brasil kkkkkkkkkkkkkkkkk"
"br",133,"RT @Brellasker: hexa = 6 títulos
galvão = 6 letras 
Brasil = 6 letras 
russia = 6 letras
letras = 6 letras
7x1
7-1 = 6 
alemanha = 8
br = 2…"
"br",134,"RT @guicasarsa_: dr estranho: eu avancei no tempo para acessar os 14 milhões possíveis resultados da copa do mundo.
brasil: quantos a gente…"
"br",135,"RT @cleytu: HOJE TEM BRASIL NA COPA DO MUNDO

H
O
J
E
 
T
E
M"
"br",136,"RT @cleytu: HOJE TEM BRASIL NA COPA DO MUNDO

H
O
J
E
 
T
E
M"
"br",137,"RT @UMCANARINHOPUTO: AMANHÃ É DIA DE BRASIL NA COPA
E EU JÁ TÔ SOFRENDO ANTECIPADO
VAI TOMAR NO CU
RUMO AO HEXA"
"br",138,"Cara, eu amo esses comerciais sobre a copa, sobre o Brasil hahaha"
"br",139,"RT @InfosFuteboI: Marcelo será o capitão do Brasil na estréia do time na Copa do Mundo! https://t.co/Cg2LQ93C3e"
"br",140,"RT @Brellasker: hexa = 6 títulos
galvão = 6 letras 
Brasil = 6 letras 
russia = 6 letras
letras = 6 letras
7x1
7-1 = 6 
alemanha = 8
br = 2…"
"br",141,"RT @lovesbaIdwin: se der brasil x portugal na final da copa é melhor trancar a taça num cofre pq a taça é de ouro, vai que os portugueses r…"
"br",142,"RT @Caiospindolaa: copa do mundo+ churrasco+cerveja gelada+ Neymar fazendo o gol pra Vitoria do Brasil e cade vc @ ?????????????"
"br",143,"RT @ehdiegonaodiogo: MULHERES, ESTÁ MAIS QUE LIBERADO NESSA COPA DO MUNDO UM CHUTAO NO SACO DO MACHO QUE PERGUNTAR O NOME DOS JOGADORES E R…"
"br",144,"pelo menos amanhã tem brasil na copa....neymastê!!!! #fui"
"br",145,"RT @cleytu: HOJE TEM BRASIL NA COPA DO MUNDO

H
O
J
E
 
T
E
M"
"br",146,"RT @Caiospindolaa: copa do mundo+ churrasco+cerveja gelada+ Neymar fazendo o gol pra Vitoria do Brasil e cade vc @ ?????????????"
"br",147,"RT @lucasinutilismo: - está ansioso para a estreia do Brasil na copa?
- https://t.co/gnYHsA85ZX"
"br",148,"RT @cleytu: HOJE TEM BRASIL NA COPA DO MUNDO

H
O
J
E
 
T
E
M"
"br",149,"RT @cleytu: HOJE TEM BRASIL NA COPA DO MUNDO

H
O
J
E
 
T
E
M"
"br",150,"RT @PortalTracklist: Liam Payne sobre Copa ao ser questionado sobre quem ele acha que vai ganhar: 

""Eu espero que a Inglaterra, mas eu ach…"
"br",151,"Só DEUS sabe o quanto eu esperei por esse dia!
HOJE TEM BRASIL PAI

VAMOOSSSSS QUE A COPA COMEÇA HOJE!

Voa #Canarinho 
#Copa2018 
#BRA"
"br",152,"domingou já bicho / tem brasil na copa caralho https://t.co/Wbi9UqE1N0"
"br",153,"eu mesma

Tirei Brasil! https://t.co/4NUujHqV55"
"br",154,"RT @guicasarsa_: dr estranho: eu avancei no tempo para acessar os 14 milhões possíveis resultados da copa do mundo.
brasil: quantos a gente…"
"br",155,"Ja tenho meu body do Brasil mirian levou para o curso hj para mim  vou usar amanhã já e em tds os jogos do Brasil copa e nossaaa hahaha"
"br",156,"RT @zaynpride: o brasil tem q ganhar essa copa pq

1° a alemanha ta perto de empatar com a gente no quesito país q mais ganhou copas do mun…"
"br",157,"RT @Caiospindolaa: copa do mundo+ churrasco+cerveja gelada+ Neymar fazendo o gol pra Vitoria do Brasil e cade vc @ ?????????????"
"br",158,"RT @Brellasker: hexa = 6 títulos
galvão = 6 letras 
Brasil = 6 letras 
russia = 6 letras
letras = 6 letras
7x1
7-1 = 6 
alemanha = 8
br = 2…"
"br",159,"RT @cleytu: HOJE TEM BRASIL NA COPA DO MUNDO

H
O
J
E
 
T
E
M"
"br",160,"RT @InfosFuteboI: Marcelo será o capitão do Brasil na estréia do time na Copa do Mundo! https://t.co/Cg2LQ93C3e"
"br",161,"RT @DepEduardoCunha: Daqui a pouco a estréia do Brasil na copa"
"br",162,"RT @zaynpride: portugual: a

brasil: DEVOLVE NOSSO OURO SEUS COLONIZADORES DE MERDA

outros países: a

brasil: deboche, memes da diva da we…"
"br",163,"RT @lucasinutilismo: - está ansioso para a estreia do Brasil na copa?
- https://t.co/gnYHsA85ZX"
"br",164,"RT @ttwitandu: BRASIL ESTREIA HOJE NA COPA <f0><U+009F><U+0092><U+009A><f0><U+009F><U+0092><U+009B><f0><U+009F><U+0092><U+0099><f0><U+009F><U+0087><U+00A7><f0><U+009F><U+0087><U+00B7> https://t.co/0m1Grf9XRb"
"br",165,"RT @porradeiv: Utilidade Pública RJ

Arena da Brahma transmitirá os jogos da Copa na Praça Mauá, além dos jogos terá DJS e Shows gratuitos…"
"br",166,"RT @cleytu: HOJE TEM BRASIL NA COPA DO MUNDO

H
O
J
E
 
T
E
M"
"br",167,"RT @Caiospindolaa: copa do mundo+ churrasco+cerveja gelada+ Neymar fazendo o gol pra Vitoria do Brasil e cade vc @ ?????????????"
"br",168,"HOJE TEM BRASIL
2014: Nunca mais me iludo com copa do mundo

2018: VEM HEXA https://t.co/SOfJRi3jXE"
"br",169,"RT @lucasinutilismo: - está ansioso para a estreia do Brasil na copa?
- https://t.co/gnYHsA85ZX"
"br",170,"RT @lucasinutilismo: - está ansioso para a estreia do Brasil na copa?
- https://t.co/gnYHsA85ZX"
"br",171,"RT @cabaredlana: Hoje tem jogo do Brasil na copa e vai dar tudo certo porque temos Deus, Jesus e Espírito Santo ao nosso lado. <U+2764><U+FE0F> https://t…"
"br",172,"RT @bluesccp: ""Brasil só tem neymar""
""não precisa entender de futebol pra comentar""
""futebol só presta presta na copa"" https://t.co/xPhWbul…"
"br",173,"RT @Brellasker: hexa = 6 títulos
galvão = 6 letras 
Brasil = 6 letras 
russia = 6 letras
letras = 6 letras
7x1
7-1 = 6 
alemanha = 8
br = 2…"
"br",174,"Vei parece que foi ontem o primeiro jogo do Brasil na copa de 2014, quando o Marcelo fez o primeiro gol contra"
"br",175,"RT @cleytu: HOJE TEM BRASIL NA COPA DO MUNDO

H
O
J
E
 
T
E
M"
"br",176,"RT @lucasinutilismo: - está ansioso para a estreia do Brasil na copa?
- https://t.co/gnYHsA85ZX"
"br",177,"Eu na copa 2014: Brasil do caray! Nunca mais torço pra essa merda. 

Eu na copa 2018: Deus proteja o menino Ney por… https://t.co/FatN02QDKw"
"br",178,"RT @cleytu: HOJE TEM BRASIL NA COPA DO MUNDO

H
O
J
E
 
T
E
M"
"br",179,"RT @lovesbaIdwin: se der brasil x portugal na final da copa é melhor trancar a taça num cofre pq a taça é de ouro, vai que os portugueses r…"
"br",180,"Tirei Brasil! https://t.co/K1WwrReY8U"
"br",181,"Gente se a gente perder o hexa até os militantes do pão e circo vão cair no pau ""país x tem idh tal, educação tal e… https://t.co/zBibQCCDsr"
"br",182,"RT @lucasinutilismo: - está ansioso para a estreia do Brasil na copa?
- https://t.co/gnYHsA85ZX"
"br",183,"RT @queridaporelas: Plena copa do mundo e eu acho q sou a única brasileira que não tem a blusa do brasil kkkkkkkkkkkkkkkkk"
"br",184,"RT @SocialistiPhone: Lula vai comentar jogos do Brasil na Copa. Qual será o nome do programa?"
"br",185,"RT @Brellasker: hexa = 6 títulos
galvão = 6 letras 
Brasil = 6 letras 
russia = 6 letras
letras = 6 letras
7x1
7-1 = 6 
alemanha = 8
br = 2…"
"br",186,"RT @zaynpride: o brasil tem q ganhar essa copa pq

1° a alemanha ta perto de empatar com a gente no quesito país q mais ganhou copas do mun…"
"br",187,"RT @odanielcornelio: dê rt pra dar sorte pro Brasil na copa. https://t.co/cm5eNKbxnT"
"br",188,"RT @lucasinutilismo: - está ansioso para a estreia do Brasil na copa?
- https://t.co/gnYHsA85ZX"
"br",189,"RT @itsbeasz: #mostratuaforça 
A Copa vai começar numa Quinta.
Quinta = 6 letras
Brasil = 6 letras
Rússia = 6 letras
Neymar = 6 letras

e e…"
"br",190,"RT @cleytu: HOJE TEM BRASIL NA COPA DO MUNDO

H
O
J
E
 
T
E
M"
"br",191,"RT @otariano: Plena copa do mundo e eu acho q sou o unico brasileiro que não tem a blusa do brasil kkkkkkkkkkkkkkkkk"
"br",192,"RT @Brellasker: hexa = 6 títulos
galvão = 6 letras 
Brasil = 6 letras 
russia = 6 letras
letras = 6 letras
7x1
7-1 = 6 
alemanha = 8
br = 2…"
"br",193,"RT @craisck: minha timeline em epoca de copa 

icon de copa 
icon de copa 
icon normal 
pessoa 100% nem ai pra copa
icon de copa
icon de co…"
